Authors;Year;Region;Country;Habitat;Family;Genus_species;Sex;Sex_Imp;Metric;N;distance_type;Distance;SD;SE;CI_95;Foraging trips cease (km);Communication ceases (km);Notes;follow_up
Osborne et al. (1999);1999;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;tracking;65;Max;631;;;;;Max range - June;yes_pdf;
Osborne et al. (1999);1999;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;tracking;30;Mean;201;;18,7;;;Mean max - August;yes_pdf;
Osborne et al. (1999);1999;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;tracking;65;Mean;339;;26,2;;;Mean max - June;yes_pdf;
Osborne et al. (2008);2008;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;mark recapture;297;Max;1625;;;;;Max distance;yes_pdf;
Osborne J.L., Smith A., Clark S.J., Reynolds D.R., Barron M.C., Lim K.S., Reynolds A.M.;2013;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;tracking;28;Median;297,24;;;;;;1st trip;
Osborne J.L., Smith A., Clark S.J., Reynolds D.R., Barron M.C., Lim K.S., Reynolds A.M.;2013;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;tracking;28;Median;688,85;;;;;;2nd trip;
Osborne J.L., Smith A., Clark S.J., Reynolds D.R., Barron M.C., Lim K.S., Reynolds A.M.;2013;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;tracking;28;Median;690,85;;;;;;3rd trip;
Packer (1970);1970;North America;USA;Agriculture;Megachilidae;Megachile_rotundata;NA;Female;homing;;Max;700;;;;;Thesis - no access;no_access_LK;
Packer (1970);1970;North America;USA;Agriculture;Megachilidae;Megachile_rotundata;NA;Female;homing;;Typical;1400;;;;;Thesis - no access;no_access_LK;
Packer (1970);1970;;;;Megachilidae;Megachile_rotundata;Female;Female;NFA;;Mean;20;;;;;Thesis - no access;no_access_LK;
Packer (1970);1970;;;;Halictidae;Nomia_melanderi;Female;Female;NFA;;Mean;7100;;;;;Thesis - no access;no_access_LK;
Packer (1970);1970;;;;Megachilidae;Megachile_rotundata;Female;Female;pollen mapping;;Mean;1800;;;;;Thesis - no access;no_access_LK;
Packer (1970);1970;;;;Halictidae;Nomia_melanderi;Female;Female;pollen mapping;;Mean;1800;;;;;Thesis - no access;no_access_LK;
Pahl M., Zhu H., Tautz J., Zhang S.;2011;Australia;Australia;mixed;Apidae;Apis_mellifera;Female;Female;homing;20;Max;11000;;;;;;;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;homing;22;Max;10000;;;;;Homing distance;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;28;Max;6040;;;;;Kaskazi many flowers;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;31;Max;5000;;;;;Kusi sunny;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;34;Max;2340;;;;;Kaskazi few flowers;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;41;Max;1390;;;;;Kusi rainy;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;28;Mean;2092;;;;;Kaskazi many flowers;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;31;Mean;887;;;;;Kusi sunny;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;34;Mean;759;;;;;Kaskazi few flowers;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;41;Mean;585;;;;;Kusi rainy;yes_pdf;
Pasquet R.S., Peltier A., Hufford M.B., Oudin E., Saulnier J., Paul L., Knudsen J.T., Herren H.R., Gepts P.;2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;134;Max;6040;;;;;;;
Pasquet R.S., Peltier A., Hufford M.B., Oudin E., Saulnier J., Paul L., Knudsen J.T., Herren H.R., Gepts P.;2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;134;Median;720;;;;;;;
Rao S., Hoffman G., Kirby J., Horne D.;2019;North America;USA;urban;Apidae;Bombus_vosnesenskii;Female;Female;homing;210;Max;16000;;;;;;;
Rao S., Strange J.P.;2012;North America;USA;Agriculture;Apidae;Bombus_vosnesenskii;Female;Female;molecular;4;Mean;2210;;;;;;;
Rao S., Strange J.P.;2012;North America;USA;Agriculture;Apidae;Bombus_vosnesenskii;Female;Female;molecular;4;Mean;4790;;;;;;;
Rau (1929);1929;North America;USA;wooded hills/open fields;Apidae;Anthophora_abrupta;Female;Female;homing;66;Max;12500;;;;;;yes_pdf;
Rau (1929, 1931);1931;North America;USA;wooded hills/open fields;Apidae;Anthophora_abrupta;Female;Female;homing;;Max;2300;;;;;;yes_pdf;
Rau (1929, 1931);1931;North America;USA;wooded hills/open fields;Apidae;Anthophora_abrupta;Female;Female;homing;;Typical;500;;;;;;yes_pdf;
Rau (1929, 1931);1931;North America;USA;wooded hills/open fields;Apidae;Xylocopa_virginica;Female;Female;homing;;Max;13000;;;;;7.75 miles;yes_pdf;
Rau (1929, 1931);1931;North America;USA;wooded hills/open fields;Apidae;Xylocopa_virginica;Female;Female;homing;;Typical;7500;;;;;;yes_pdf;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_hortorum;Female;Female;molecular;48;Max;810;;;;;;;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_hortorum;Female;Female;molecular;48;Mean;273;;20,15;;;;;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_lapidarius;Female;Female;molecular;271;Max;2059;;;;;;;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_lapidarius;Female;Female;molecular;271;Mean;536;;16,02;;;;;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_pascuorum;Female;Female;molecular;123;Max;1808;;;;;;;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_pascuorum;Female;Female;molecular;123;Mean;337;;19,92;;;;;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_ruderatus;Female;Female;molecular;42;Max;2350;;;;;;;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_ruderatus;Female;Female;molecular;42;Mean;502;;33,71;;;;;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;molecular;69;Max;2878;;;;;;;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;molecular;69;Mean;551;;39,83;;;;;
Robertson (1966);1966;;;;Megachilidae;Megachile_rotundata;Female;Female;NFA;;Mean;100;;;;;Observed distance - not sure if mean or max;no_access_LK;
Rodrigues F., Ribeiro M.F.;2014;South America;Brazil;natural - savanna;Apidae;Melipona_mandacaia;Female;Female;homing;75;Max;2700;;;;;;;
Roubik (1989);1989;;;;Apidae;Scaptotrigona_luteipennis;Female;Female;pollen mapping;;Mean;1300;;;;;Observed distance - not sure if mean or max;no_access_LK;
Roubik and Aluja (1983);1983;Central America;Panama;forest;Apidae;Cephalotrigona_capitata;Female;Female;homing;167;Max;1547;;;;;;yes_pdf;
Roubik and Aluja (1983);1983;Central America;Panama;forest;Apidae;Melipona_fasciata;Female;Female;homing;228;Max;2085;;;;;;yes_pdf;
Rust (1990);1990;North America;USA;meadow;Megachilidae;Osmia_lignaria;Female;Female;pollen mapping;;Mean;600;;;;;distance between plant populations;yes_pdf;ss propinqua
Saville et al. 1997;1997;Europe;Norway;Agriculture;Apidae;Bombus_lucorum;Female;Female;mark recapture;36;Max;350;;;;;Not sure mean or max - One marked B. lucorum was reobserved in Area 2 five days later, about 350m from the nest;yes_pdf;
Schaffer and Wratten (1994);1994;Australasia;New Zealand;Agriculture;Apidae;Bombus_terrestris;Female;Female;mark recapture;;Max;100;;;;;Fewer than 3% of the bees travelled further than 100m within the crop;yes_pdf;
Schaffer and Wratten (1994);1994;Australasia;New Zealand;Agriculture;Apidae;Bombus_terrestris;Female;Female;nest plant association;;Max;650;;;;;Max distance seen on weeds before crop full-bloom;yes_pdf;
Schmid-Egger et al. (1995);1995;;;;Colletidae;Colletes_hederae;NA;NA;NA;NA;Max;400;;;;;German;no_access_LK;
Schneider and Hall (1997);1997;Central America;Costa Rica;NA;Apidae;Apis_mellifera;Female;Female;waggle dance;NA;Mean;1402;336;;;;Hybrids - pollen;yes_pdf;
Schneider and Hall (1997);1997;Central America;Costa Rica;NA;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;1202;82;;;;Hybrids - nectar;yes_pdf;
Schneider and Hall (1997);1997;Central America;Costa Rica;NA;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;1085;143;;;;African - pollen;yes_pdf;
Schneider and Hall (1997);1997;Central America;Costa Rica;NA;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;1041;38;;;;African - nectar;yes_pdf;
Silva A.G., Pinto R.S., Contrera F.A.L., Albuquerque P.M.C., RÃªgo M.M.C.;2014;South America;Brazil;natural - scrub shrub;Apidae;Melipona_subnitida;Female;Female;feeder;3;Max;1120;40;;;;;;
Silva A.G., Pinto R.S., Contrera F.A.L., Albuquerque P.M.C., RÃªgo M.M.C.;2014;South America;Brazil;natural - scrub shrub;Apidae;Melipona_subnitida;Female;Female;feeder;3;Mean;886,66;61,1;;;;;;
Silva A.G., Pinto R.S., Contrera F.A.L., Albuquerque P.M.C., RÃªgo M.M.C.;2014;South America;Brazil;natural - scrub shrub;Apidae;Melipona_subnitida;Female;Female;homing;150;Max;4000;;;;;;;
Smith J.P., Heard T.A., Beekman M., Gloag R.;2017;Australia;Australia;natural - bushland with agriculture in distance;Apidae;Tetragonula_carbonaria;Female;Female;homing;100;max_50;333;;;;;;;
Smith J.P., Heard T.A., Beekman M., Gloag R.;2017;Australia;Australia;natural - bushland with agriculture in distance;Apidae;Tetragonula_carbonaria;Female;Female;homing;100;Max;700;;;;;;;
Southwick and Buchmann (1995);1995;North America;USA;Agriculture;Apidae;Apis_mellifera;Female;Female;mark recapture;;Max;5300;;;;;;New York;
Southwick and Buchmann (1995);1995;North America;USA;Agriculture;Apidae;Apis_mellifera;Female;Female;mark recapture;;Max;5600;;;;;;Arizona;
Southwick and Buchmann (1995);1995;North America;USA;desert;Apidae;Apis_mellifera;Female;Female;mark recapture;;Max;9200;;;;;;Mountain;
Steffan-Dewenter and Kuhn (2003);2003;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;;Max;10037,1;;;;;;;
Steffan-Dewenter and Kuhn (2003);2003;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;1319;53,2;;;;;MAY - OVERALL;
Steffan-Dewenter and Kuhn (2003);2003;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;1518,2;51,3;;;;;JULY - OVERALL;
Steffan-Dewenter and Kuhn (2003);2003;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;1786;96,6;;;;;JUNE - OVERALL;
Tasei and Delaude (1984);1984;;;;Megachilidae;Megachile_rotundata;NA;Female;mark recapture;;Mean;100;;;;;French;no_access_LK;
Tasei and Delaude (1984);1984;;;;Megachilidae;Megachile_rotundata;NA;Female;nest plant association;NA;Max;100;;;;;French;no_access_LK;
Tepedino (1983);1983;North America;USA;Agriculture;Megachilidae;Megachile_rotundata;Female;Female;pollen mapping;;Mean;500;;;;;bees must have flown at least 500m for forage;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;794,51;133,16;;;;FL1_1;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;637,45;127,11;;;;FL1_2;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;643,95;157,42;;;;FL1_3;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;529,19;175,67;;;;FL1_4;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;505,99;114,96;;;;FL2_1;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;803,32;139,27;;;;FL2_2;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;1094,63;175,6;;;;FL2_3;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;804,1;290,85;;;;FL2_4;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;866,84;327,08;;;;CA1_1;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;970,31;266,46;;;;CA1_2;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;861,63;199,86;;;;CA1_3;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;1377,19;284,63;;;;CA1_4;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;1450,44;333,16;;;;CA1_5;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;724,02;193,74;;;;CA2_1;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;609,29;321,06;;;;CA2_2;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;700,63;151,39;;;;CA2_3;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;416,21;96,87;;;;CA2_4;yes_pdf;
Waddington et al. (1994);1994;North America;USA;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;404,6;102,84;;;;CA2_5;yes_pdf;
Walther-Hellwig and Frankl (2000);2000;Europe;Germany;Agriculture;Apidae;Bombus_lapidarius;Female;Female;mark recapture;22;Max;1500;;;;;Foraging distance;yes_pdf;
Walther-Hellwig and Frankl (2000);2000;Europe;Germany;Agriculture;Apidae;Bombus_muscorum;Female;Female;mark recapture;13;Max;500;;;;;Foraging distance;yes_pdf;
Walther-Hellwig and Frankl (2000);2000;Europe;Germany;Agriculture;Apidae;Bombus_terrestris;Female;Female;mark recapture;13;Max;1750;;;;;Foraging distance;yes_pdf;
Van Nieuwstadt and Iraheta (1996);1996;Central America;Costa Rica;savannah woodland;Apidae;Nannotrigona_perilampoides;Female;Female;feeder;NA;Max;120;;;;;Fig 2;yes_pdf;
Van Nieuwstadt and Iraheta (1996);1996;Central America;Costa Rica;savannah woodland;Apidae;Partamona_cupira;Female;Female;feeder;NA;Max;520;;;;;Fig 2;yes_pdf;species aff
Van Nieuwstadt and Iraheta (1996);1996;Central America;Costa Rica;savannah woodland;Apidae;Tetragonisca_angustula;Female;Female;feeder;NA;Max;680;;;;;Fig 2;yes_pdf;
Van Nieuwstadt and Iraheta (1996);1996;Central America;Costa Rica;savannah woodland;Apidae;Trigona_corvina;Female;Female;feeder;NA;Max;320;;;;;Fig 2;yes_pdf;
Van Nieuwstadt and Iraheta (1996);1996;Central America;Costa Rica;savannah woodland;Apidae;Nannotrigona_perilampoides;Female;Female;homing;NA;Max;500;;;;;Fig 1 - max distance forager returned;yes_pdf;
Van Nieuwstadt and Iraheta (1996);1996;Central America;Costa Rica;savannah woodland;Apidae;Partamona_cupira;Female;Female;homing;NA;Max;800;;;;;Fig 1 - max distance forager returned;yes_pdf;species aff
Van Nieuwstadt and Iraheta (1996);1996;Central America;Costa Rica;savannah woodland;Apidae;Tetragonisca_angustula;Female;Female;homing;NA;Max;800;;;;;Fig 1 - max distance forager returned;yes_pdf;
Van Nieuwstadt and Iraheta (1996);1996;Central America;Costa Rica;savannah woodland;Apidae;Trigona_corvina;Female;Female;homing;NA;Max;800;;;;;Fig 1 - max distance forager returned;yes_pdf;
Vansell and Todd (1946);1946;;;;Halictidae;Nomia_melanderi;Female;Female;NFA;;Mean;2400;;;;;Observed distance - not sure if mean or max;no_access_LK;
Wesserling (1996);1996;;;;Colletidae;Colletes_cunicularius;NA;NA;NA;NA;Max;350;;;;;n.a.;no_access_LK;
Wesserling (1996) in Gathmann and Tscharntke (2002);1996;;;;Andrenidae;Andrena_barbilabris;NA;NA;NA;;Max;300;;;;;;no_access_LK;
Wesserling (1996) in Gathmann and Tscharntke (2002);1996;;;;Andrenidae;Andrena_flavipes;NA;NA;NA;;Max;300;;;;;;no_access_LK;
Wesserling (1996) in Gathmann and Tscharntke (2002);2002;;;;Andrenidae;Andrena_vaga;NA;NA;NA;;Max;300;;;;;;no_access_LK;
Wesserling (1996) in Gathmann and Tscharntke (2002);2002;;;;Colletidae;Colletes_cunicularius;NA;NA;NA;;Max;400;;;;;;no_access_LK;
Wesserling (1996) in Gathmann and Tscharntke 2002;1996;;;;Megachilidae;Megachile_lapponica;NA;NA;NA;;Max;600;;;;;;no_access_LK;
Wesserling and Tscharntke (1995);1995;;;;Andrenidae;Andrena_barbilabris;NA;Female;homing;NA;Max;500;;;;;Homing distance;no_access_LK;
Wesserling and Tscharntke (1995);1995;;;;Andrenidae;Andrena_flavipes;NA;Female;homing;NA;Max;600;;;;;Homing distance;no_access_LK;
Wesserling and Tscharntke (1995);1995;;;;Andrenidae;Andrena_vaga;NA;Female;homing;NA;Max;600;;;;;Homing distance;no_access_LK;
Wesserling and Tscharntke (1995);1995;;;;Apidae;Eucera_salicariae;NA;Female;homing;NA;Max;400;;;;;Homing distance;no_access_LK;
Westphal C., Steffan-Dewenter I., Tscharntke T.;2006;Europe;Germany;mixed agriculture semi-natural;Apidae;Bombus_lapidarius;Female;Female;nest plant association;1155;Mean;2750;;;;;;;
Westphal C., Steffan-Dewenter I., Tscharntke T.;2006;Europe;Germany;mixed agriculture semi-natural;Apidae;Bombus_pascuorum;Female;Female;nest plant association;242;Mean;1000;;;;;;;
Westphal C., Steffan-Dewenter I., Tscharntke T.;2006;Europe;Germany;mixed agriculture semi-natural;Apidae;Bombus_pratorum;Female;Female;nest plant association;52;Mean;250;;;;;;;
Westphal C., Steffan-Dewenter I., Tscharntke T.;2006;Europe;Germany;mixed agriculture semi-natural;Apidae;Bombus_terrestris;Female;Female;nest plant association;1874;Mean;3000;;;;;;;
Vicens and Bosch (2000);2000;Europe;Spain;Agriculture;Megachilidae;Osmia_cornuta;Female;Female;homing;;Max;2200;;;;;;;
Wikelski M., Moxley J., Eaton-Mordas A., LÃ³pez-Uribe M.M., Holland R., Moskowitz D., Roubik D.W., Kays R.;2010;Central America;Panama;;Apidae;Exaerete frontalis;Male;Male;tracking;7;Mean;1516;340;;;;;;
Wille & Orozco 1970;1984;Central America;Costa Rica;pasture/rainforest;Halictidae;Lasioglossum_umbripenne;Female;Female;homing;;Max;200;;;;;Source is wrong: corrected - was listed as Batra 1984;yes_pdf;
Wille & Orozco 1970;1984;Central America;Costa Rica;pasture/rainforest;Halictidae;Lasioglossum_umbripenne;Female;Female;homing;;Typical;100;;;;;Source is wrong: corrected - was listed as Batra 1984;yes_pdf;
Wille (1976);1976;;;;Apidae;Melipona_fuligonosa;Female;Female;homing;;Max;2000;;;;;Spanish;checked_IB;
Wille (1976);1976;;;;Apidae;Trigona_corvina;Female;Female;NA;;NA;600;;;;;From Kerr 1959;no_access_LK;
Wille (1976);1976;;;;Apidae;Trigona_trinidadensis;Female;Female;NA;;NA;800;;;;;From Kerr 1959;no_access_LK;
Visscher and Seeley (1982);1982;North America;USA;forest;Apidae;Apis_mellifera;Female;Female;waggle dance;NA;Max;10100;;;;;;yes_pdf;
Visscher and Seeley (1982);1982;North America;USA;forest;Apidae;Apis_mellifera;Female;Female;waggle dance;36;Mean;2260;1890;;;;pooled est - has per day estimates also but not all days reported;yes_pdf;
Witt (1992) in Gathmann and Tscharntke (2002);1996;Europe;Germany;NA;Andrenidae;Andrena_barbilabris;NA;NA;NA;;Max;500;;;;;;check source;
Wolf and Moritz (2008);2008;Europe;Germany;Agriculture;Apidae;Bombus_terrestris;Female;Female;mark recapture;126;Max;800;;;;;;yes_pdf;
Wolf and Moritz (2008);2008;Europe;Germany;Agriculture;Apidae;Bombus_terrestris;Female;Female;mark recapture;126;Mean;267,2;180,3;;;;;yes_pdf;
von Frisch (1967);1967;;;;Apidae;Apis_mellifera;Female;Female;waggle dance;NA;Max;13500;;;;;Foraging distance;no_access_LK;
Zurbuchen 2010;2010;Europe;Switzerland;Agriculture;Megachilidae;Chelostoma_rapunculi;Female;Female;nest plant association;35;Max;1275;;;;;Foraging distance;yes_pdf;
Zurbuchen 2010;2010;Europe;Switzerland;Agriculture;Megachilidae;Hoplitis_adunca;Female;Female;nest plant association;39;Max;1400;;;;;Foraging distance;yes_pdf;
Zurbuchen 2010;2010;Europe;Switzerland;Agriculture;Colletidae;Hylaeus_punctulatissimus;Female;Female;nest plant association;85;Max;1100;;;;;Foraging distance;yes_pdf;
Zurbuchen 2010b;2010;Europe;Switzerland;Agriculture;Megachilidae;Chelostoma_florisomne;Female;Female;mark recapture;18;Max;650;;;;;Foraging distance;yes_pdf;
Cildomar 2020;2020;South America;Brazil;Mixed;Apidae;Melipona_grandis;Female;Female;homing;390;Max;2740;;;;;;yes_pdf;
Costa 2021;2021;South America;Brazil;Forest;Apidae;Melipona_seminigra;Female;Female;homing;810;Max;5000;;;;;Exp3_C1;yes_pdf;
Costa 2021;2021;South America;Brazil;Forest;Apidae;Melipona_seminigra;Female;Female;homing;810;Max;4000;;;;;Exp3_C2;yes_pdf;
Costa 2021;2021;South America;Brazil;Forest;Apidae;Melipona_seminigra;Female;Female;homing;810;Max;2000;;;;;Exp3_C3;yes_pdf;
Cavigliasso 2020;2020;South America;Argentina;Agriculture;Apidae;Bombus_pauloensis;Female_Queen;Female_Queen;tracking;7;Max;813,82;421,77;;;;before_nest_establishment;yes_pdf;
Cavigliasso 2020;2020;South America;Argentina;Agriculture;Apidae;Bombus_pauloensis;Female_Queen;Female_Queen;tracking;10;Max;522,71;350,25;;;;after_nest_establishment;yes_pdf;